x,t=steady
3.537017894060044654e+01,2.885818421616631602e-01
3.539463171209059311e+01,2.883780690659112356e-01
3.666666666666688457e+01,2.777777777777754031e-01
3.666666666666688457e+01,2.777777777777761803e-01
4.017225510829505453e+01,2.485645407642075866e-01
4.024160578680697142e+01,2.479866184432746590e-01
4.031592350146126336e+01,2.473673041544892370e-01
4.052487120755960603e+01,2.456260732703360594e-01
4.059159029846157551e+01,2.450700808461537539e-01
4.094765961053848002e+01,2.421028365788454040e-01
4.100143351482194731e+01,2.416547207098172501e-01
4.147347531865253956e+01,2.377210390112289295e-01
4.149376673289497575e+01,2.375519438925411120e-01
4.205335878973136943e+01,2.328886767522386492e-01
4.207297452434954721e+01,2.327252122970865089e-01
4.265612594174085359e+01,2.278656171521598606e-01
4.266838227115746918e+01,2.277634810736874071e-01
4.333333333333342807e+01,2.222222222222206556e-01
4.333333333333342807e+01,2.222222222222215715e-01
5.000000000000000000e+01,1.666666666666661301e-01
5.000000000000000000e+01,1.666666666666663243e-01
5.000000000000000000e+01,1.666666666666661301e-01
5.000000000000000000e+01,1.666666666666666574e-01
5.000000000000000000e+01,1.666666666666666297e-01
5.000000000000000000e+01,1.666666666666661023e-01
5.000000000000000000e+01,1.666666666666667407e-01
5.000000000000000000e+01,1.666666666666662966e-01
5.000000000000000000e+01,1.666666666666663243e-01
5.000000000000000000e+01,1.666666666666662688e-01
5.000000000000000000e+01,1.666666666666662688e-01
5.000000000000000000e+01,1.666666666666661023e-01
5.000000000000000000e+01,1.666666666666666852e-01
5.000000000000000000e+01,1.666666666666666297e-01
5.000000000000000000e+01,1.666666666666668239e-01
5.000000000000000000e+01,1.666666666666669072e-01
5.666666666666671404e+01,1.555555555555549196e-01
5.701274222972679695e+01,1.549787629504554287e-01
5.703200613731929991e+01,1.549466564378012834e-01
5.723610932411394003e+01,1.546064844598094568e-01
5.747389168570056484e+01,1.542101805238324796e-01
5.748123806758292176e+01,1.541979365540284419e-01
5.769855154365921379e+01,1.538357474272341874e-01
