x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s,t=5.00e+00s,t=1.00e+01s
2.187500000000000046e-04,-2.345751987396313222e-05,-1.621469231172662504e-04,1.043372656254869929e-04,-3.337715375568429379e-05,-3.552506142570453253e-03,1.188837184785654033e+00
2.265625000000000115e-04,4.467821383958027279e-06,3.505572373411646912e-05,-2.692847210819175366e-05,2.169810598547882756e-05,1.336153976643721488e-03,1.338647985827627007e+00
2.343749999999999913e-04,-8.497465995243479574e-07,-7.505511355780859528e-06,6.257879444945516851e-06,-6.801330911905554882e-06,-4.883022091997949262e-05,6.652261429589988173e-02
2.421874999999999983e-04,1.614014151383701115e-07,1.593270312476803680e-06,-1.333072541868493603e-06,1.615961782625125487e-06,-5.004817475345416539e-05,-4.456173400301959020e-02
2.500000000000000052e-04,-3.061887742074639291e-08,-3.356667419015486999e-07,2.603738015653755057e-07,-3.091227981939579352e-07,1.056569256750295307e-05,-5.012012722333316142e-03
2.578125000000000121e-04,5.801909974556499947e-09,7.024032364603526418e-08,-4.579707314954693240e-08,4.474232815583749541e-08,3.251637463583645168e-07,1.449450502247473993e-03
2.656250000000000191e-04,-1.098208523102838332e-09,-1.460890581826677181e-08,6.856488605479378108e-09,-2.978954270178443675e-09,-5.252400643762931468e-07,2.397747072636331289e-04
2.734375000000000260e-04,2.076634242513286663e-10,3.021699589605941136e-09,-7.065976067308025383e-10,-9.434861189940945048e-10,8.633819287003747231e-08,-5.014817443003303447e-05
2.812500000000000330e-04,-3.923044182528773167e-11,-6.218723475332039685e-10,-2.856779751980013152e-11,5.160564752716239734e-10,6.187000230494243547e-09,-9.933101615758621616e-06
2.890624999999999857e-04,7.404549395547137367e-12,1.273950960658271175e-10,4.575916842673996098e-11,-1.608542742824538653e-10,-5.123870104184253465e-09,1.937508769078883356e-06
2.968749999999999926e-04,-1.396395675672842074e-12,-2.598765766926126146e-11,-1.800933709619679441e-11,3.979376187748910939e-11,8.072040301869450173e-10,3.782888648540163532e-07
3.046874999999999996e-04,2.631316623135309637e-13,5.280636918513550384e-12,5.452405418240026763e-12,-8.312327992196875339e-12,5.473845483472423717e-11,-8.335207136529601835e-08
3.125000000000000065e-04,-4.954629173116969573e-14,-1.069142282528797933e-12,-1.455434658299028615e-12,1.450360823364666719e-12,-4.865162445261938413e-11,-1.304495488733658698e-08
3.203125000000000134e-04,9.322659793718812530e-15,2.157377081682823642e-13,3.584506873445681942e-13,-1.892506584447683324e-13,8.655357102624158528e-12,3.813415445132241495e-09
3.281250000000000204e-04,-1.752972201599551133e-15,-4.339677064083060507e-14,-8.307389058492996073e-14,7.413685580754431053e-15,1.832111096469264560e-13,3.681810140461583770e-10
3.359375000000000273e-04,3.294059359408350616e-16,8.703998244402264859e-15,1.827989360247484506e-14,6.030257698407314992e-15,-4.379304606054569556e-13,-1.747942777339315648e-10
3.437499999999999801e-04,-6.186180990333791792e-17,-1.740967345088156441e-15,-3.829277948337853653e-15,-2.809779127889193435e-15,9.842234504449791378e-14,-4.939314563076902024e-12
3.515624999999999870e-04,1.161077663463455153e-17,3.473326937283820792e-16,7.616816745339384901e-16,8.583962495022224481e-16,-4.405143202771778598e-15,7.569718772248405786e-12
3.593749999999999939e-04,-2.178006245787523901e-18,-6.912736190305179060e-17,-1.425359584571377385e-16,-2.166932672196491439e-16,-3.402239092421084728e-15,-3.496154045141415951e-13
3.671875000000000009e-04,4.083448915952110360e-19,1.372662533410020478e-17,2.456137689826947122e-17,4.773810091713041895e-17,1.077093085400972823e-15,-2.890034376722009853e-13
3.750000000000000078e-04,-7.652009684407150437e-20,-2.719831964408657607e-18,-3.698918362833746950e-18,-9.231273204410921615e-18,-1.244223139176703500e-16,3.994244099236730421e-14
3.828125000000000147e-04,1.433223195822803871e-20,5.378179541300751065e-19,4.095153198273630742e-19,1.511885975909212857e-18,-1.677004956695824770e-17,8.478170594724032158e-15
3.906250000000000217e-04,-2.683187511246790309e-21,-1.061426195650642500e-19,1.632652236245103380e-21,-1.808468480801435350e-19,1.026324392644736369e-17,-2.547957346667186305e-15
3.984375000000000286e-04,5.021060832448167332e-22,2.090972408630475893e-20,-2.039575320538310929e-20,2.174517592577408156e-21,-2.017543770652346598e-18,-9.067265701114811527e-17
4.062500000000000356e-04,-9.391934989185940426e-23,-4.111972953923955807e-21,8.711923043324983025e-21,7.785609994550318762e-21,7.985258363750217555e-20,1.194360499810536766e-16
4.140624999999999883e-04,1.756051332515801845e-23,8.072948190125888505e-22,-2.776567462407538013e-21,-3.334132455018633966e-21,7.154713034148383681e-20,-1.022506057322532600e-17
4.218749999999999952e-04,-3.282077518833586348e-24,-1.582442470396944938e-22,7.793481770566978582e-22,1.011081307971232003e-21,-2.392055953708808934e-20,-3.893695059998211740e-18
4.296875000000000022e-04,6.131920584050519214e-25,3.097198479159625896e-23,-2.030350524771066002e-22,-2.604311571013710018e-22,3.490162013478652650e-21,9.472749656651455610e-19
4.375000000000000091e-04,-1.145213498962377439e-25,-6.053197105928807396e-24,5.025399684045500426e-23,5.990318526340515866e-23,1.108469017226754108e-22,4.186321091085949124e-20
4.453125000000000160e-04,2.138082658817398711e-26,1.181415401025518256e-24,-1.196357464342096837e-23,-1.246977442804705342e-23,-1.955753492214578830e-22,-4.722015224547111723e-20
4.531250000000000230e-04,-3.990397375560772452e-27,-2.302756650643521235e-25,2.758618517720224300e-24,2.328182872987071250e-24,5.233244837224230834e-23,5.005438408197896812e-21
4.609375000000000299e-04,7.445033464358524660e-28,4.482754990384490023e-26,-6.186488881419893348e-25,-3.739011213506996740e-25,-6.361073101224671931e-24,1.325801113323667556e-21
4.687499999999999827e-04,-1.388612179897580938e-28,-8.715974254648214126e-27,1.352334561295508155e-25,4.453245542641085982e-26,-5.526443684795312959e-25,-4.253272396349652555e-22
4.765624999999999896e-04,2.589189236673308892e-29,1.692707502971522639e-27,-2.883755944459084042e-26,-6.661631509552957324e-28,4.659345546015165196e-25,9.018866349281868406e-24
4.843749999999999965e-04,-4.826358543029263835e-30,-3.283694524370425287e-28,5.995805312128580240e-27,-1.867467642320523250e-27,-1.158337277372456167e-25,1.737734016289908203e-23
4.921875000000000035e-04,8.993993580794642379e-31,6.363221939266530477e-29,-1.213092411286939322e-27,8.178079786512857928e-28,1.358619012857623508e-26,-3.316067196374607086e-24
5.000000000000000104e-04,-1.675586277489550189e-31,-1.231806407887438150e-29,2.378889606678812031e-28,-2.543552323906880785e-28,1.263279409725701073e-27,-2.039053865125188574e-25
5.078125000000000173e-04,3.120801022755638716e-32,2.382185059628330034e-30,-4.489347156128588377e-29,6.778283014546668701e-29,-1.034638420092496360e-27,1.839945512549635857e-25
